,5919806fc15d4a3a2199e5e5:Maarten Luther,5919806fc15d4a3a2199e5e5:Johannes Calvijn,5919806fc15d4a3a2199e5e7:De Nederlanden,5919806fc15d4a3a2199e5e8:Door koningen,5919806fc15d4a3a2199e5e9:Karel V,5919806fc15d4a3a2199e5e9:Fillips II,5919806fc15d4a3a2199e5ea:Fillips II,5919806fc15d4a3a2199e5ed:Verzet van de Nederlanden,5919806fc15d4a3a2199e5ef:Tot de Tachtigjarige Oorlog,5919806fc15d4a3a2199e5f1:Een Europees handelscentrum,5919806fc15d4a3a2199e5f3:Een Europees handelscentrum,5919806fc15d4a3a2199e5f5:Door regenten,5919806fc15d4a3a2199e5f8:Aan de stedelijke gedragscode,5919806fc15d4a3a2199e5fa:Gewenst en ongewenst gedrag,"5919806fc15d4a3a2199e5fb:Als boers, onbeschaafd gedrag",5919806fc15d4a3a2199e5fd:Door G.A. Bredero,5919806fc15d4a3a2199e5ff:Tot conflicten,5919806fc15d4a3a2199e600:Als onmatig gedrag,5919806fc15d4a3a2199e601:Alcoholisme en ongeremde seksualiteit.,5919806fc15d4a3a2199e603:Een strenge moraal,5919806fc15d4a3a2199e604:Op de jongeren,5919806fc15d4a3a2199e606:De gouden eeuw,5919806fc15d4a3a2199e607:De Oude Kamer (D'Eglentier),5919806fc15d4a3a2199e607:Wit Lavendel (Brabantse Kamer),5919806fc15d4a3a2199e608:Dichters,5919806fc15d4a3a2199e608:Toneelschrijvers,5919806fc15d4a3a2199e609:G.A. Bredero,5919806fc15d4a3a2199e609:P.C. Hooft,5919806fc15d4a3a2199e60b:Een opini&euml;rende rol hebben,5919806fc15d4a3a2199e60c:Protestantisme,5919806fc15d4a3a2199e60c:Renaissance,5919806fc15d4a3a2199e60c:Humanisme,5919806fc15d4a3a2199e60d:In de Italiaanse republikeinse stadstaten,5919806fc15d4a3a2199e60f:Op de kunst en idee&euml;n uit de Klassieke Oudheid,5919806fc15d4a3a2199e610:Translatio (vertaling),5919806fc15d4a3a2199e610:Imitatio (nabootsing),5919806fc15d4a3a2199e610:Aemulatio (overtreffing),5919806fc15d4a3a2199e615:Zelfontplooiing,5919806fc15d4a3a2199e615:Menswaardigheid,5919806fc15d4a3a2199e616:Verdraagzaamheid,5919806fc15d4a3a2199e617:Menswetenschappen,5919806fc15d4a3a2199e617:Natuurwetenschappen,5919806fc15d4a3a2199e618:Taal,5919806fc15d4a3a2199e618:Ethiek,5919806fc15d4a3a2199e61b:Sto&iuml;cisme,5919806fc15d4a3a2199e61c:Tegen tirannie,5919806fc15d4a3a2199e61e:Spaanse koningen,5919806fc15d4a3a2199e61e:Calvinisten,5919806fc15d4a3a2199e620:Van kerkelijke en adellijke mecenas (opdrachtgevers),5919806fc15d4a3a2199e623:Door de Romein Horatius,5919806fc15d4a3a2199e626:Naar de actualiteit,5919806fc15d4a3a2199e627:Tot actie om zich tegen Spanje te verzetten,5919806fc15d4a3a2199e628:Het Wilhelmus,5919806fc15d4a3a2199e62a:Een algemene waarheid,5919806fc15d4a3a2199e62d:Jacob Cats,5919806fc15d4a3a2199e62f:De liefde,5919806fc15d4a3a2199e631:Wanneer er sprake was van platonische liefde,5919806fc15d4a3a2199e633:De Italische renaissancedichter Petrarka,5919806fc15d4a3a2199e637:De platonische liefde,5919806fc15d4a3a2199e638:Aan een onbereikbaar ideaalbeeld,5919806fc15d4a3a2199e639:Door de literaire elite,5919806fc15d4a3a2199e63a:Voor zelfbeheersing ten opzichte van voorechtelijk geslachtsverkeer,5919806fc15d4a3a2199e63b:Uit veertien versregels,5919806fc15d4a3a2199e63d:Na het octaaf,5919806fc15d4a3a2199e63d:Voor het sextet,5919806fc15d4a3a2199e63e:P.C. Hooft,5919806fc15d4a3a2199e63f:Het uitbeelden van de stedelijke gedragscode,5919806fc15d4a3a2199e640:Het publiek,5919806fc15d4a3a2199e641:In de Nederlanden,5919806fc15d4a3a2199e642:Naar liefdadige instellingen,5919806fc15d4a3a2199e643:Regenten,5919806fc15d4a3a2199e645:Een morele spiegel,5919806fc15d4a3a2199e646:De ondergang van de hoofdpersoon,5919806fc15d4a3a2199e647:In een hooggeplaatste positie,5919806fc15d4a3a2199e649:Retorisch-didactische tragedie,5919806fc15d4a3a2199e649:Aristotelische tragedie,5919806fc15d4a3a2199e64a:De tragedies van de Romein Seneca,5919806fc15d4a3a2199e64b:Uit vijf bedrijven,5919806fc15d4a3a2199e64d:Eenheid van tijd,5919806fc15d4a3a2199e64d:Eenheid van plaats,5919806fc15d4a3a2199e64d:Eenheid van handeling,5919806fc15d4a3a2199e64e:Aristoteles,5919806fc15d4a3a2199e64f:Gijsbreght van Aemstel,5919806fc15d4a3a2199e64f:Geschreven door J. van den Vondel,5919806fc15d4a3a2199e650:Personages uit lagere klassen,5919806fc15d4a3a2199e652:Met een happy end,5919806fc15d4a3a2199e653:Warenar,5919806fc15d4a3a2199e653:Geschreven door P.C. Hooft,5919806fc15d4a3a2199e655:De klucht was korter,5919806fc15d4a3a2199e656:Grappige situaties,5919806fc15d4a3a2199e658:De klucht van de koe,5919806fc15d4a3a2199e658:Geschreven door G.A. Bredero
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,1,1,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
2,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,
3,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,
7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
8,,,,,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,1,,0,0,0,,,,,,,,,,,
10,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
12,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
13,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
15,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
20,,,,0,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,1,,
22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,,,
